plaats,certificates
Zevenbergen,17297
Uden,15440
Etten-Leur,15440
Schijndel,13206
Veghel,12784
Boxtel,12192
Gemert,12155
Zundert,11881
Princenhage,11412
"Oud en Nieuw Gastel",10450
Oudenbosch,9201
"Fijnaart en Heijningen",8978
Berlicum,8576
Willemstad,6826
"Cuijk en Sint Agatha",6724
Berghem,6458
Heesch,6285
Erp,6275
Mill,6179
Boekel,5729
Hoeven,5531
Ossendrecht,5214
Schaijk,4817
Capelle,4703
Zeeland,4560
"Oploo c.a.",4542
"Beugen en Rijkevoort",4361
Boxmeer,4186
Megen,4084
"Bakel en Milheeze",3983
Rijsbergen,3878
Sambeek,3833
Lieshout,3644
Baardwijk,3642
Geffen,3602
Aarle-Rixtel,3527
"Maashees en Overloon",3490
Haaren,3370
Standdaarbuiten,3291
Lith,3263
Wanroij,3212
"Gilze en Rijen",3136
Dussen,3069
Escharen,3062
Vught,3034
Nuland,3034
Oeffelt,2830
"Den Dungen",2751
Eersel,2513
Reek,2301
"Alem, Maren en Kessel",2142
Beers,2031
Lierop,1971
Haps,1930
Lithoijen,1783
Dinther,1778
Waalwijk,1777
Gassel,1721
Klundert,1705
Aalst,1408
Besoijen,1368
"Duizel en Steensel",1362
Sint-Michielsgestel,1348
"Dieden, Demen en Langel",1282
"Oijen en Teeffelen",1271
Linden,1253
Cromvoirt,1196
Esch,1181
"Beek en Donk",1098
"Mill en Sint Hubert",1090
"Deursen en Dennenburg",1039
Velp,1018
"Empel en Meerwijk",1007
Grave,987
Bergeyk,985
Helvoirt,905
Dommelen,855
Vierlingsbeek,855
Nistelrode,811
Veen,736
Engelen,700
"Deurne en Liessel",658
Herpen,649
Heeswijk,560
Oploo,551
Veldhoven,532
"Huisseling en Neerloon",505
Chaam,409
Bokhoven,393
Huijbergen,359
Putte,293
"Haren en Macharen",235
Helmond,166
Liempde,152
"Nederwetten en Eckart",108
Gastel,27
NULL,1
